	RCC4-EV	RCC4-VHL
ACTR6	227.372866941825	273.599686183258
ACTR6P1	0	0
ACTR8	180.769259784278	118.361653740033
ACTRT1	0	0
ACTRT1P1	0	0
ACTRT2	0	0
ACTRT3	0	0
ACVR1	203.15591289819	242.763430817254
ACVR1B	222.476578816532	220.910218411614
ACVR1C	0	0.137610980450652
ACVR2A	34.3876944651417	36.3926272229473
ACVR2B	21.955864777004	9.05711530324032
ACVR2B-AS1	8.59918564450717	1.52957390631085
ACVRL1	5.63976985402453	3.11217377025295
ACY1	462.985918577456	343.900205648604
ACY3	0	6.30012293753327
ACYP1	233.383203966327	103.539742187304
ACYP2	69.8281069888376	62.9042604155407
ADA	845.281171886825	362.314047633453
ADA2	0.692031256630815	1.45529130983535
ADAD1	0	0
ADAD1P2	0	0
ADAD2	0	0
ADAL	76.2350671881437	98.6637720016156
ADAM10	1632.39326373689	2128.81573304925
ADAM11	4.68596218044931	1.34505534795563
ADAM12	753.477716802432	969.199643958234
ADAM15	818.219269216683	988.439845662663
ADAM17	663.426544014001	596.232551079431
ADAM18	102.358014747374	17.0805608384294
ADAM19	103.334058585167	124.924152143577
ADAM1A	0	0
ADAM1B	0	0
ADAM2	0	0
ADAM20	0.454070155681349	0.457680033987746
ADAM20P1	1.24309120729157	0.555132577057077
ADAM20P2	0	0
ADAM20P3	0	0
ADAM21	0	3.55332787137068
ADAM21P1	0	0.71015255549293
ADAM22	89.3393167750275	81.1104559461606
ADAM23	0	0
ADAM24P	0	0
ADAM28	0	1.87550415250712
ADAM29	0	0
ADAM30	0	0
ADAM32	1.59229714899519	3.68166666811183
ADAM33	0	0
ADAM3A	1.22508034107317	0
ADAM3B	0	0
ADAM5	0	0
ADAM6	0	0
ADAM7	0.372189002032071	1.12546648931138
ADAM7-AS1	0	3.21532418585125
ADAM7-AS2	0	0
ADAM8	13.8143343895108	11.6614425308187
ADAM9	4488.37388724083	3522.39496242529
ADAMDEC1	0	0
ADAMTS1	472.593648710527	304.44199685291
ADAMTS10	112.814560300709	169.367179413087
ADAMTS12	1.10000725232195	0.92997269309592
ADAMTS13	13.7736392214083	14.8022738665956
ADAMTS14	40.9617459944123	29.961957825885
ADAMTS15	67.9235859255754	311.220783133596
ADAMTS16	101.275335484826	10.2568223383074
ADAMTS16-DT	0.834432335156129	0.420549248429938
ADAMTS17	7.60737162882891	4.34337679442855
ADAMTS18	0.209386989733311	0
ADAMTS19	0	0
ADAMTS19-AS1	0	0
ADAMTS2	6.707020376909	25.1027028013056
ADAMTS20	0	0
ADAMTS3	24.8393105630583	164.531914324137
ADAMTS4	1.04527043733358	0.515184393274611
ADAMTS5	0	0
ADAMTS6	46.9012345878176	33.6112874904929
ADAMTS7	25.6311058002235	37.433193309041
ADAMTS7P1	0.256526804278856	1.03434257956758
ADAMTS7P3	0	0
ADAMTS7P4	0	0
ADAMTS8	0	6.22836338424403
ADAMTS9	176.09511990227	173.541512314036
ADAMTS9-AS1	0	13.2993390912597
